t,y_1,y_2,y_3,y_4
0,0,0,0,0
0.01,0.39544814291445,0.0457778953962822,0.193159494039117,0.0233180798997643
0.02,0.282499297672715,0.042651025627789,0.406831505074829,0.055722668001142
0.03,0.199084785501699,0.0386473819635889,0.536445170239566,0.0835880586964958
0.04,0.146667077217831,0.0358421332208746,0.61031831118481,0.10772381580266
0.05,0.114215235750884,0.0338865670724046,0.649679130741479,0.129047085337782
0.06,0.0939534446611657,0.0324600242386258,0.66834164422238,0.14819945284829
0.07,0.0812777171686045,0.0313800250300212,0.674578533651453,0.165596861715517
0.08,0.0733399629766846,0.0305285614223424,0.673420138751242,0.181523373488664
0.09,0.0683538130407112,0.0298313822350773,0.668001431285141,0.196182815605178
0.1,0.0651980752483511,0.0292415739152739,0.660276371217343,0.209727264901
0.11,0.063183723199278,0.0287292846901649,0.651418661103882,0.222273162469118
0.12,0.0618950453204238,0.0282756908635317,0.64211335435711,0.233912696459956
0.13,0.0610458306226669,0.0278673246256241,0.632816778879892,0.244725249645309
0.14,0.0604700850762551,0.0274956726672184,0.623773517177939,0.254777485933818
0.15,0.0600702953347309,0.0271550777604995,0.61510803930149,0.264127326530399
0.16,0.059786453262096,0.0268414918765676,0.606880686329258,0.272826283976278
0.17,0.0595836320890884,0.0265520182559706,0.599111011582596,0.280919901948547
0.18,0.0594231972658447,0.0262836117459423,0.59182515914319,0.288454022553493
0.19,0.0592921968222263,0.0260344301553337,0.585008122132723,0.295467677640155
0.2,0.0591818276431612,0.0258029011051373,0.578640492690663,0.301996666586537
0.21,0.0590839136197939,0.0255874837164206,0.572701893950528,0.308076529833873
0.22,0.0589995811838112,0.0253872171429021,0.567161151567868,0.313736042264434
0.23,0.0589242915769887,0.0252008598329541,0.56199579643468,0.319005957429846
0.24,0.0588573608116283,0.0250274667375939,0.557180552280024,0.323912578614654
0.25,0.0587982866749644,0.024866510665728,0.552701658910962,0.328470583459558
0.26,0.058744631879509,0.0247167899456326,0.54853158272867,0.332711788808703
0.27,0.0586945813904821,0.0245772872914871,0.544646281917232,0.336663418456409
0.28,0.058646609172127,0.0244470622839676,0.541023081890179,0.340350811915717
0.29,0.0586044771418789,0.0243264856118693,0.537661557736538,0.343767537612815
0.3,0.0585647457862773,0.0242141424235006,0.534530983690786,0.346950431619828
0.31,0.0585265026277584,0.0241092444266646,0.531611266783613,0.349921147068709
0.32,0.058489379455107,0.0240111817468112,0.528885862256857,0.352696803156877
0.33,0.0584563909898944,0.0239204534791197,0.526360279554041,0.355266338034355
0.34,0.0584253754925148,0.0238358618069138,0.524006281447965,0.35766181163543
0.35,0.0583960592337269,0.0237568278280732,0.521807939132554,0.359899556088684
0.36,0.0583684573169242,0.0236830124429599,0.519755404682847,0.361989319726708
0.37,0.0583433010760393,0.0236146712003252,0.517853909192785,0.363924524763843
0.38,0.0583199972297266,0.0235509598908134,0.516080796228858,0.365728787359664
0.39,0.0582984608967866,0.0234914564028597,0.514424112860132,0.367414134945735
0.4,0.0582785506315112,0.0234359748896251,0.512878904611652,0.36898574901181
0.41,0.0582600715248744,0.0233845528156067,0.511446831768877,0.370442340439701
0.42,0.0582429733785399,0.0233366232021272,0.51011165025624,0.371800134290635
0.43,0.0582271463012317,0.0232918684023996,0.508864501519876,0.373068131053463
0.44,0.0582125100627127,0.0232504632781139,0.507710676830191,0.374241231824207
0.45,0.0581989731492735,0.0232123953338789,0.506650084667459,0.375319701304204
0.46,0.0581864054325109,0.0231770108943229,0.505664212338537,0.376322159713215
0.47,0.0581747003092874,0.0231440469107452,0.504745769898755,0.377256044521582
0.48,0.0581637511764653,0.0231132403344449,0.503887467403442,0.378128793199644
0.49,0.0581534514309071,0.0230843281167215,0.503082014907926,0.378947843217741
0.5,0.0581436944694753,0.0230570472088741,0.502322122467537,0.379720632046214
0.51,0.0581347343157193,0.0230319557592014,0.501623175466101,0.380431421448835
0.52,0.0581266098701529,0.0230091220510034,0.50098703287446,0.381078298090668
0.53,0.0581190152599236,0.0229878292707923,0.500393875153189,0.381681505528256
0.54,0.058111879966386,0.0229678965392625,0.499838681262677,0.382246162258792
0.55,0.0581051334708948,0.0229491429771084,0.499316430163316,0.382777386779466
0.56,0.0580987052548047,0.0229313877050245,0.498822100815495,0.383280297587468
0.57,0.0580925247994703,0.0229144498437054,0.498350672179606,0.383760013179989
0.58,0.058086889379671,0.0228989652452947,0.497919647401401,0.384198579211759
0.59,0.0580818102405747,0.0228849345972947,0.497529012771933,0.384595984877858
0.6,0.0580770536613097,0.022871814609377,0.497163752518248,0.384967586866302
0.61,0.0580725826040298,0.0228594987505519,0.496820896011852,0.385316403318067
0.62,0.0580683600308888,0.0228478804898294,0.496497472624254,0.385645452374131
0.63,0.0580643489040405,0.0228368532962198,0.496190511726961,0.385957752175471
0.64,0.0580605121856388,0.0228263106387331,0.495897042691481,0.386256320863063
0.65,0.0580570219397195,0.022816711961259,0.495629843274963,0.386528161012598
0.66,0.0580538553928558,0.0228079893422308,0.495387017165294,0.386775198222331
0.67,0.0580509020953283,0.0227998375471573,0.495160064761797,0.387006073407345
0.68,0.0580481424424499,0.0227921972312813,0.49494732840413,0.387222469465271
0.69,0.0580455568295335,0.0227850090498459,0.49474715043195,0.387426069293742
0.7,0.0580431256518919,0.0227782136580939,0.494557873184916,0.387618555790389
0.71,0.058040829304838,0.0227717517112683,0.494377839002685,0.387801611852843
0.72,0.0580387337065688,0.0227658773796118,0.494214198936693,0.387968013666636
0.73,0.0580368137385253,0.0227605111052797,0.494064727407154,0.388120018367168
