t,y1
0,0
0.01,0.756773850527106
0.02,0.693204812876648
0.03,0.635024137101304
0.04,0.581854574949626
0.05,0.533259801105759
0.06,0.488853313706275
0.07,0.448256310187836
0.08,0.411141915982573
0.09,0.377220724610946
0.1,0.346205926840189
0.11,0.31785984283167
0.12,0.292001146588361
0.13,0.268351975123815
0.14,0.246713971324507
0.15,0.226985318272725
0.16,0.208912621811061
0.17,0.19237452532739
0.18,0.17728984323542
0.19,0.163457261577328
0.2,0.150815120333977
0.21,0.139273907219739
0.22,0.128688526250531
0.23,0.119032287264351
0.24,0.110207290732601
0.25,0.102112760401068
0.26,0.0947426871443642
0.27,0.0879982571060712
0.28,0.0818170029005082
0.29,0.0761884059891917
0.3,0.0710355634355987
0.31,0.0663140445389446
0.32,0.0620138676111295
0.33,0.0580754378354782
0.34,0.0544682839456236
0.35,0.0511817530084845
0.36,0.0481706641727803
0.37,0.0454147847703639
0.38,0.0429027360336676
0.39,0.0406007546709928
0.4,0.0384957503138109
0.41,0.0365759065011873
0.42,0.0348162061632645
0.43,0.0332095902557826
0.44,0.031744085417415
0.45,0.0304005515951309
0.46,0.0291718557547899
0.47,0.0280523482111738
0.48,0.0270260453362535
0.49,0.0260859248106872
0.5,0.0252301836180714
0.51,0.0244459549988054
0.52,0.023726710229516
0.53,0.023072526067798
0.54,0.0224733332439642
0.55,0.0219233666355333
0.56,0.0214233962629672
0.57,0.0209656679775634
0.58,0.020545272775567
0.59,0.020164554306048
0.6,0.019816381720982
0.61,0.019496885434717
0.62,0.019203284590908
0.63,0.0189376529205771
0.64,0.0186943170822094
0.65,0.0184704523798125
0.66,0.0182651268018558
0.67,0.0180791249773092
0.68,0.0179085525728564
0.69,0.0177514372711442
0.7,0.0176079505193345
0.71,0.0174776224431567
0.72,0.0173580832849118
0.73,0.0172479627598953
0.74,0.0171479088201374
0.75,0.017056732858424
0.76,0.0169730906466338
0.77,0.0168960099167037
0.78,0.0168271873909866
0.79,0.0167644104774439
0.8,0.0167068980430158
0.81,0.0166538995523411
0.82,0.0166046644700588
0.83,0.0165603108159481
0.84,0.0165204231432462
0.85,0.0164837865919587
0.86,0.0164498996233648
0.87,0.0164182606987435
0.88,0.0163890932259842
0.89,0.0163633444175938
0.9,0.0163396872092375
0.91,0.016317822325718
0.92,0.0162974504918377
0.93,0.0162783031143409
0.94,0.0162615817859643
0.95,0.0162462544920875
0.96,0.0162321478429064
0.97,0.0162190884486167
0.98,0.0162069029194143
0.99,0.0161959540220367
1,0.0161861039619642
1.01,0.0161770760241512
1.02,0.0161687634925641
1.03,0.0161610596511696
1.04,0.0161541493505485
1.05,0.0161482747759558
1.06,0.0161429646897693
1.07,0.0161381391886397
1.08,0.0161337183692179
1.09,0.0161296223281547
1.1,0.0161257711621009
1.11,0.0161220849677074
1.12,0.016118483841625
1.13,0.0161153647499819
1.14,0.016112932846
1.15,0.0161107068110983
1.16,0.0161086414535711
1.17,0.0161066915817124
1.18,0.0161048120038163
1.19,0.0161029575281769
1.2,0.0161010829630883
1.21,0.0160991431168447
1.22,0.0160975407232463
1.23,0.0160963179429832
1.24,0.0160951756521506
1.25,0.0160940955047033
1.26,0.0160930591545964
1.27,0.0160920482557847
1.28,0.0160910444622233
1.29,0.0160900294278672
1.3,0.0160889848066712
1.31,0.0160881409306729
1.32,0.0160874559451478
1.33,0.016086819705138
1.34,0.0160862264772275
1.35,0.0160856705280002
1.36,0.0160851461240401
1.37,0.0160846475319309
1.38,0.0160841690182567
1.39,0.0160837048496013
1.4,0.0160833230635252
1.41,0.0160829948487953
1.42,0.0160826982479304
1.43,0.0160824307584056
1.44,0.0160821898776957
1.45,0.0160819731032755
1.46,0.0160817779326201
1.47,0.0160816018632042
1.48,0.0160814423925027
1.49,0.0160811563424491
1.5,0.0160808646134226
1.51,0.0160805910184062
1.52,0.0160803355574
1.53,0.0160800982304039
1.54,0.016079879037418
1.55,0.0160796779784422
1.56,0.0160794950534767
1.57,0.0160793302625212
1.58,0.016079183605576
1.59,0.0160790550826409
1.6,0.0160789446937159
1.61,0.0160788524388011
1.62,0.0160787783178965
1.63,0.016078722331002
1.64,0.0160786844781177
1.65,0.0160786647592436
1.66,0.0160786631743796
1.67,0.0160786797235257
1.68,0.0160787144066821
1.69,0.0160787672238485
1.7,0.0160788381750252
1.71,0.016078927260212
1.72,0.0160790344794089
1.73,0.0160791598326161
1.74,0.0160793033198333
1.75,0.016079359146703
1.76,0.0160794013093302
1.77,0.016079444653211
1.78,0.0160794891783454
1.79,0.0160795348847335
1.8,0.0160795817723752
1.81,0.0160796298412705
1.82,0.0160796790914194
1.83,0.016079729522822
1.84,0.0160797811354782
1.85,0.016079833929388
1.86,0.0160798879045514
1.87,0.0160799430609685
1.88,0.0160799921452921
1.89,0.0160800266813486
1.9,0.016080057149596
1.91,0.0160800835500345
1.92,0.016080105882664
1.93,0.0160801241474845
1.94,0.016080138344496
1.95,0.0160801492771387
1.96,0.0160801582813236
1.97,0.0160801643131451
1.98,0.0160801673726034
1.99,0.0160801686230043
2,0.0160801691489915
2.01,0.0131454950502934
2.02,0.0105320247666317
2.03,0.0084381546845292
2.04,0.00676060949043341
2.05,0.00541666867234331
2.06,0.00434004746776551
2.07,0.00347732384782333
2.08,0.0027870545969271
2.09,0.00223431731216513
2.1,0.00179110297091349
2.11,0.00143556227960192
