time1,data
0.00422389995676331,1
0.0482588884823895,0.891304347826087
0.09930045121451,0.769927536231884
0.154577000254986,0.681159420289855
0.259365195507811,0.597826086956522
0.452611390117627,0.545289855072464
0.722408842474031,0.514492753623188
0.956386292834892,0.509057971014493
1.15620669393909,0.501811594202899
1.33689205219454,0.501811594202899
1.51757741045,0.501811594202899
1.69514750390794,0.501811594202899
1.87928071750868,0.496376811594203
1.96015565237636,0.447463768115942
2.02610835800047,0.33695652173913
2.05489961308633,0.222826086956522
2.07635170341792,0.126811594202899
2.15510914513143,0.0615942028985507
2.31653751067062,0.019927536231884
2.46695712907839,0.00543478260869562
2.64552499417967,0.0108695652173913
2.76090065520338,0.0126811594202899
2.87360450549329,0.0217391304347827
