time1,data2
0.00422389995676331,1
0.0482588884823895,1
0.09930045121451,1
0.154577000254986,1
0.259365195507811,1
0.452611390117627,1
0.722408842474031,1
0.956386292834892,1
1.15620669393909,1
1.33689205219454,1
1.51757741045,1
1.69514750390794,1
1.87928071750868,1
1.96015565237636,1
2.02610835800047,0.776934567072009
2.05489961308633,0.513779310483103
2.07635170341792,0.292394729543229
2.15510914513143,0.142020297206711
2.31653751067062,0.0459477432139359
2.46695712907839,0.0125312026947098
2.64552499417967,0.0250624053894197
2.76090065520338,0.029239472954323
2.87360450549329,0.0501248107788394
