t,y1
0,0
0.01,0.973719086641454
0.02,1
0.03,0.978106037549806
0.04,0.956473528636613
0.05,0.935934182389917
0.06,0.916422291707828
0.07,0.897905561607868
0.08,0.880332504654927
0.09,0.863650965895286
0.1,0.84781325985188
0.11,0.832780236844476
0.12,0.818510592902098
0.13,0.804965190449421
0.14,0.792106904340136
0.15,0.779901402162714
0.16,0.768323042916133
0.17,0.757344941825429
0.18,0.746926349485728
0.19,0.737033884041033
0.2,0.727634163635344
0.21,0.718713176034675
0.22,0.710270371970205
0.23,0.70225419677049
0.24,0.694636504526106
0.25,0.687389149327629
0.26,0.680499712997672
0.27,0.67399154132623
0.28,0.667810096608526
0.29,0.661933632126285
0.3,0.656340401161228
0.31,0.65101576464292
0.32,0.645991232836832
0.33,0.641219126213535
0.34,0.636683197412265
0.35,0.63236719907226
0.36,0.628255690178044
0.37,0.624377142904417
0.38,0.620694336690587
0.39,0.617195021681445
0.4,0.61386694802188
0.41,0.610697865856785
0.42,0.607722878821328
0.43,0.604905840451948
0.44,0.602232563978584
0.45,0.599693040247638
0.46,0.597277260105514
0.47,0.594975214398612
0.48,0.592776893973336
0.49,0.590684045567342
0.5,0.588734687388505
0.51,0.58688403398646
0.52,0.585124884754783
0.53,0.58345003908705
0.54,0.581852296376834
0.55,0.580324456017713
0.56,0.578859317403261
0.57,0.577476957963961
0.58,0.576185487423866
0.59,0.574958052506034
0.6,0.573789944630806
0.61,0.572676455218521
0.62,0.57161287568952
0.63,0.570594497464143
0.64,0.569616611962731
0.65,0.568705831351798
0.66,0.567846922743021
0.67,0.567030519664001
0.68,0.566253611723708
0.69,0.565513188531111
0.7,0.564806239695181
0.71,0.564129754824888
0.72,0.563482832073334
0.73,0.562883276141615
0.74,0.562314099721299
0.75,0.561773308730924
0.76,0.561258909089031
0.77,0.56076890671416
0.78,0.560301307524852
0.79,0.559854117439645
0.8,0.559434980525437
0.81,0.55905075479219
0.82,0.558687312693095
0.83,0.558343134240547
0.84,0.558016699446945
0.85,0.557706488324684
0.86,0.557410980886164
0.87,0.557128657143779
0.88,0.556857997109928
0.89,0.556597480797008
0.9,0.556345588217416
0.91,0.556100799383548
