time1,data2
-0.0105540897097626,0.0387297487425154
0.0158311345646437,0.292233558693526
0.0158311345646437,0.672489273620041
0.0158311345646437,1
0.021108179419525,1
0.021108179419525,1
0.0686015831134564,1
0.168865435356201,1
0.274406332453826,1
0.511873350923483,1
0.849604221635884,1
1.31398416886544,0.999931694806763
1.72031662269129,0.985848149809485
1.96306068601583,0.971764604812206
2.03693931398417,0.971764604812206
2.07387862796834,0.76755320235167
2.16358839050132,0.51404939240066
2.31134564643799,0.260545582449649
2.60158311345646,0.0915430424823093
2.60158311345646,0.0915430424823093
2.8179419525066,0.0140835449972783
2.89182058047493,0.0281670899945566
