t,y1
0,0
0.01,0.988000035129748
0.02,0.962903072782432
0.03,0.93898748897044
0.04,0.916396921850327
0.05,0.895061282760954
0.06,0.874911586440822
0.07,0.855890933035333
0.08,0.837936178311218
0.09,0.820981113297814
0.1,0.804961516114992
0.11,0.789847105083848
0.12,0.775578535378246
0.13,0.762092653777646
0.14,0.749341015624224
0.15,0.737321889184313
0.16,0.725963747988988
0.17,0.715219963150991
0.18,0.705073053229359
0.19,0.695501366348671
0.2,0.686453093069264
0.21,0.67789105982274
0.22,0.669821991780396
0.23,0.662199517753266
0.24,0.65499259487985
0.25,0.648189996017163
0.26,0.641795757418702
0.27,0.635758348399276
0.28,0.630052247911869
0.29,0.624651934909463
0.3,0.619531888345042
0.31,0.614711259897621
0.32,0.610183134108576
0.33,0.605902882997428
0.34,0.601850991749371
0.35,0.598007945549598
0.36,0.594354229583305
0.37,0.590932392606443
0.38,0.58771016762906
0.39,0.584661930006002
0.4,0.581773865084442
0.41,0.579032158211554
0.42,0.576424336981824
0.43,0.573994240617175
0.44,0.571697663719072
0.45,0.569524995985855
0.46,0.567466627115867
0.47,0.565512946807449
0.48,0.563662648247441
0.49,0.56193317625748
0.5,0.560298992744503
0.51,0.558753251981026
0.52,0.557289108239565
0.53,0.555899715792637
0.54,0.554597191924379
0.55,0.553386476497266
0.56,0.552244762891063
0.57,0.551166660100593
0.58,0.550146777120679
0.59,0.549179722946144
0.6,0.548260106571813
0.61,0.547382536992509
0.62,0.546541623203054
0.63,0.545772313345109
0.64,0.545054754509779
0.65,0.544376307522963
0.66,0.543733359301992
0.67,0.543122296764196
0.68,0.542539506826906
0.69,0.541981376407452
0.7,0.541444292423165
0.71,0.540928601336584
0.72,0.540468574012461
0.73,0.540033398413155
0.74,0.539620957217764
0.75,0.539229133105387
0.76,0.538855808755122
0.77,0.538498866846069
0.78,0.538156190057325
0.79,0.537825661067989
0.8,0.537515569028262
0.81,0.53723409561391
0.82,0.536967779992379
0.83,0.536715431459393
0.84,0.536475859310675
0.85,0.53624787284195
0.86,0.536030281348942
0.87,0.535821894127374
0.88,0.53562152047297
0.89,0.535437831349864
0.9,0.535267358966321
0.91,0.535106289358438
0.92,0.534953908136375
0.93,0.534809500910293
0.94,0.534672353290352
0.95,0.534541750886713
0.96,0.534416979309536
0.97,0.534297870031094
0.98,0.534197211713336
0.99,0.534103094342104
1,0.534014984041838
1.01,0.533932346936979
1.02,0.533854649151969
1.03,0.533781356811249
1.04,0.53371193603926
1.05,0.533645852960442
1.06,0.533582573699238
1.07,0.533521564380087
1.08,0.533462291127432
1.09,0.533404220065712
1.1,0.53334681731937
1.11,0.533289549012847
1.12,0.533236765261029
1.13,0.533198138683827
1.14,0.533161837961436
1.15,0.533127565671016
1.16,0.533095024389731
1.17,0.533063916694741
1.18,0.53303394516321
1.19,0.533004812372298
1.2,0.532976220899169
1.21,0.532947873320984
1.22,0.532919472214905
1.23,0.532890720158094
1.24,0.532861319727714
1.25,0.532830973500926
1.26,0.532799384054892
1.27,0.532773398331826
1.28,0.532754530866613
1.29,0.532736500642689
1.3,0.532719192877352
1.31,0.532702492787901
1.32,0.532686285591635
1.33,0.532670456505851
1.34,0.53265489074785
1.35,0.532639473534929
1.36,0.532624090084387
1.37,0.532608625613523
1.38,0.532592965339635
1.39,0.532576994480022
1.4,0.532560598251984
1.41,0.532543661872817
1.42,0.532530913580507
1.43,0.532520169903987
1.44,0.532509910463345
1.45,0.532500103372159
1.46,0.532490716744006
1.47,0.532481718692462
1.48,0.532473077331104
1.49,0.532464760773508
1.5,0.532456737133253
1.51,0.532448974523913
1.52,0.532441441059067
1.53,0.532434104852291
1.54,0.532426934017162
1.55,0.532419896667256
1.56,0.53241296091615
1.57,0.532407565738946
1.58,0.532402528364581
1.59,0.53239781037055
1.6,0.532393398587325
1.61,0.532389279845382
1.62,0.532385440975194
1.63,0.532381868807236
1.64,0.532378550171981
1.65,0.532375471899905
1.66,0.53237262082148
1.67,0.532369983767181
1.68,0.532367547567482
1.69,0.532365299052858
1.7,0.532363225053781
1.71,0.532361332021332
1.72,0.532359663175291
1.73,0.532358147216812
1.74,0.532356784145895
1.75,0.532355573962542
1.76,0.532354516666751
1.77,0.532353612258522
1.78,0.532352860737857
1.79,0.532352262104753
1.8,0.532351724346343
1.81,0.532350950146185
1.82,0.5323502365586
1.83,0.532349583583588
1.84,0.532348991221148
1.85,0.53234845947128
1.86,0.532347988333985
1.87,0.532347577809263
1.88,0.532347227897113
1.89,0.532346903806584
1.9,0.53234649311947
1.91,0.532346108154866
1.92,0.532345748912773
1.93,0.532345415393191
1.94,0.53234510759612
1.95,0.53234482552156
1.96,0.53234456916951
1.97,0.532344338539972
1.98,0.532344128365699
1.99,0.53234390611706
2,0.532343679702887
2.01,0.490800868315565
2.02,0.448984602234784
2.03,0.410731453225796
2.04,0.375737639076496
2.05,0.343724581948066
2.06,0.314409451606145
2.07,0.287590738257502
2.08,0.263061198114896
2.09,0.240579389358381
2.1,0.220009611794504
2.11,0.201167717971937
2.12,0.183991635872706
2.13,0.168225848511164
2.14,0.153852189994321
2.15,0.140698458680229
2.16,0.128708319893456
2.17,0.117739156390077
2.18,0.107705799135672
2.19,0.0985504480154737
2.2,0.0901655271194873
2.21,0.0824981345052665
2.22,0.0754887682444917
2.23,0.0690576975705432
2.24,0.06319014066348
2.25,0.0578121576886937
2.26,0.0528883208774966
2.27,0.0483897987435345
2.28,0.0442640270691744
2.29,0.04050149431114
2.3,0.0370561752267366
2.31,0.0338988948582876
2.32,0.031018334256692
2.33,0.0283784670232085
2.34,0.0259625110621529
2.35,0.0237560314789283
2.36,0.0217321277958383
2.37,0.0198839521852845
2.38,0.018193224314706
2.39,0.0166423056323818
2.4,0.0152280100978968
2.41,0.0139323226198058
2.42,0.0127444391250934
2.43,0.0116590242614339
2.44,0.0106659000937963
2.45,0.00975709493316653
2.46,0.00892510505713389
2.47,0.00816424374485612
2.48,0.0074680822124546
2.49,0.00683097904495135
2.5,0.0062486789968228
2.51,0.00571587184766957
2.52,0.00522844735880208
2.53,0.00478296663124253
2.54,0.00437523129826703
2.55,0.00400228585453112
2.56,0.00366131457729117
2.57,0.00334918496753931
2.58,0.00306368334503477
2.59,0.00280258040119229
2.6,0.00256337515514609
2.61,0.00234454445728054
2.62,0.00214457118532812
2.63,0.00196150173890395
2.64,0.00179385974908301
2.65,0.00164065741691189
2.66,0.0015007958171622
2.67,0.00137254933422059
2.68,0.00125530883644706
2.69,0.00114826395341954
2.7,0.00105035169639934
2.71,0.000960692799137134
2.72,0.000878745847734129
2.73,0.00080390456399372
2.74,0.000735309470838668
2.75,0.000672571649919912
2.76,0.000615238745411327
2.77,0.000562783075565008
2.78,0.000514734541400684
2.79,0.000470804150823417
2.8,0.000430684303215323
2.81,0.000393863675261634
2.82,0.000360180042515435
2.83,0.000329407328960838
2.84,0.00030132123277132
2.85,0.00027553396729108
2.86,0.000251957604607297
2.87,0.000230436679971431
2.88,0.000210793195702451
2.89,0.000192766418573761
2.9,0.000176289887584692
2.91,0.000161250807254817
2.92,0.000147510009211232
2.93,0.000134909497871754
2.94,0.000123390233250716
2.95,0.000112871925199841
2.96,0.000103249783046145
2.97,9.44296965507707e-05
2.98,8.63652978779445e-05
2.99,7.90024796753662e-05
3,7.22817331341498e-05
