time1,data
-0.0105540897097626,0.0212355212355212
0.0158311345646437,0.16023166023166
0.0158311345646437,0.368725868725869
0.0158311345646437,0.629343629343629
0.021108179419525,0.853281853281853
0.021108179419525,0.853281853281853
0.0686015831134564,1
0.168865435356201,0.828185328185328
0.274406332453826,0.698841698841699
0.511873350923483,0.592664092664092
0.849604221635884,0.552123552123552
1.31398416886544,0.548262548262548
1.72031662269129,0.54054054054054
1.96306068601583,0.532818532818533
2.03693931398417,0.532818532818533
2.07387862796834,0.420849420849421
2.16358839050132,0.281853281853282
2.31134564643799,0.142857142857143
2.60158311345646,0.0501930501930502
2.60158311345646,0.0501930501930502
2.8179419525066,0.00772200772200772
2.89182058047493,0.0154440154440154
