3987.8246346555325, -0.47984344422698655
4016.526096033403, -20.633268101761246
4016.526096033403, -62.85949119373777
4038.052192066806, -162.18708414872793
4088.2797494780793, -242.8007827788649
4181.559498956159, -180.42113502935416
4375.294363256785, -107.00508806262229
4597.730688935282, -83.49275929549901
5243.5135699373695, -74.3757338551859
5989.751565762004, -75.81526418786692
6614.008350730688, -75.3354207436399
6886.672233820459, -75.81526418786692
7109.108559498956, -32.14951076320938
7510.929018789144, -7.1976516634050824
